stringId,中文,英文,西班牙语,印度,泰国,越南
settings_tab_connection,连接,Connect,Conectar,Koneksi,เชื่อมต่อ,Kết nối
settings_tab_common,通用设置,General settings,Configuración general,Atur umum,ตั้งค่าทั่วไป,Cài đặt chung
settings_tab_system,系统设置,System settings,Configuración del sistema,Atur sistem,ตั้งค่าระบบ,Cài đặt hệ thống
settings_tab_scene,情景模式,Profile,Perfil,Mode adegan,โหมดอารมณ์,Chế độ bối cảnh
settings_label,系统设置,Settings,Ajustes,Atur sistem,ตั้งค่าระบบ,Cài đặt hệ thống
settings_scene,情景模式,Profile,Perfil,Mode adegan,โหมดอารมณ์,Chế độ bối cảnh
display_settings,屏幕亮度,Screen brightness,Brillo de la pantalla,Kecerahan layar,ความสว่างหน้าจอ,Độ sáng màn hình
brightness_setting_title,屏幕亮度设置,Screen brightness settings,Configuración de brillo de la pantalla,Atur kecerahan layar,ตั้งค่าความสว่างหน้าจอ,Cài đặt độ sáng màn hình
bluetooth,蓝牙,Bluetooth,Bluetooth,Bluetooth,บลูทูธ,Bluetooth
sound_settings,声音设置,Voice settings,Configuración de voz,Atur suara,ตั้งค่าเสียง,Cài đặt âm thanh
applications_settings,声音,Voice,Voz,Suara,เสียง,Âm thanh
system_setting_machine_name,本机名称,the local name,el nombre local,Nama perangkat ini,ชื่อเครื่องนี้,Tên thiết bị này
system_setting_car_infomation,车辆信息,Vehicle information,Información del vehículo,Informasi mobil,ข้อมูลรถ,Thông tin xe
system_setting_license_plate_info,车牌信息,License plate information,Información de la matrícula,Informasi plat mobil,ข้อมูลทะเบียนรถ,Thông tin biển số xe
system_setting_system_ver,系统版本,System version,Versión del sistema,Versi sistem,เวอร์ชันระบบ,Phiên bản hệ thống
system_setting_system_privacy,隐私权限,Privacy permission,Permiso de privacidad,Izin privasi,สิทธิ์ความเป็นส่วนตัว,Quyền riêng tư
system_setting_system_memory,系统内存,System memory,Memoria del sistema,Memori sistem,หน่วยความจำระบบ,Bộ nhớ hệ thống
system_setting_exemption_clause,免责条款,Disclaimer,Descargo de responsabilidad,Penafian,ข้อจำกัดความรับผิดชอบ,Điều khoản miễn trừ trách nhiệm
system_setting_fail_retry,页面加载失败，稍后重试,Page loading failed. Please try again later,"Error al cargar la página. Por favor, inténtelo de nuevo más tarde","Gagal memuat halaman, coba lagi nanti",โหลดหน้าหลักล้มเหลว ลองใหม่ภายหลัง,"Tải giao diện thất bại, hãy thử lại sau"
system_setting_loading,加载中，请稍后…,Loading… Please wait,Cargando... Espere por favor,"Memuat, harap tunggu...",กำลังโหลด โปรดลองใหม่ภายหลัง...,"Đang tải, xin hãy đợi…"
system_setting_restore_factory,恢复出厂设置,Factory reset,Restablecimiento de fábrica,Kembali ke ke pengaturan pabrik,กู้คืนการตั้งค่าโรงงาน,Khôi phục cài đặt xuất xưởng
common_setting_sys_theme_c,系统主题设置,System theme settings,Configuración del tema del sistema,Atur tema sistem,ตั้งค่าธีมของระบบ,Cài đặt chủ đề hệ thống
common_setting_sys_theme,系统主题,System theme,Tema del sistema,Tema sistem,ธีมของระบบ,Chủ đề hệ thống
common_setting_ai,智能推荐,Intelligent recommendation,Recomendación inteligente,Rekomendasi cerdas,คำแนะนำระบบ AI,Đề xuất thông minh
common_setting_theme_mode,白天黑夜设置,Day and night settings,Configuraciones diurnas y nocturnas,Atur siang dan malam,ตั้งค่ากลางวันกลางคืน,Cài đặt ngày và đêm
